0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.4229083,0.28614682,0.16270979,-0.2477119,0.19531497,-0.37292725,0.08624494,0.8243033,0.1120519,-0.21166296,-0.59475535,-0.742583,-0.3865248,-0.5313642,-0.14850852,-0.20242679,0.13776892,-0.83984566,0.25884137,-0.5101163,0.56467605,-0.16872673,0.019858522,-0.3851853,-0.410451,0.054173328,-0.4347197,-0.19193807,-0.4476681,0.21821298,0.35392883,-0.15913081,0.19107561,-0.35421795,-0.30423725,0.47764865,0.2718068,-0.36793277,-0.40672374,-0.44576824,-0.6471518,-0.17578086,-0.044867694,0.09900771,0.1493823,-0.26179403,0.26987043,0.08135445,0.2654982,0.28932524,0.54797703,0.018213794,0.095718265,0.17027399,-0.6318412,0.35206726,0.51244056,-0.2773257,-0.40383306,-0.13553482,0.27924213,0.26496956,-0.15114179,0.06065701,-0.3646315,0.900405,0.2068625,0.61586523,-0.5099138,0.9029897,-0.049780104,0.004228838,0.9069925,-0.29975966,-0.104912095,0.0059222565,0.0260761,-0.05157561,-0.45234776,0.21670961,-0.4648395,-0.0136579545,-0.18563631,0.5061366,0.6590856,-0.2792299,-0.1558678,0.8595758,0.472325,0.020550568,0.56021106,-0.0972439,0.24834423,-0.29242882,0.8972764,0.48945946,-0.1026261,-0.13183674,0.14418611,0.018411607
-0.0636664,0.2885578,-0.30617458,0.32069635,0.15588105,-0.94607395,0.12555745,0.8261135,-0.19417077,-0.08671905,-0.44661596,-0.59865886,-0.30966452,0.029924065,-0.7580739,-0.29370698,-0.028622527,-0.75759494,0.41975927,-0.93615437,0.7351059,-0.07381366,-0.018483955,-0.079155505,0.00025842548,-0.071577944,0.036004394,-0.17349532,-0.4111908,0.157783,0.167296,0.13496229,0.026261063,-0.348672,-0.67049736,0.49850228,0.4463974,-0.17075972,-0.7072448,-0.5586774,-0.31346485,0.4656628,-0.29330367,0.50582564,0.08128189,-0.66324496,0.1730116,-0.27959198,0.18790682,0.10760124,0.11271154,-0.45189252,-0.4163856,-0.2156453,-0.30180234,0.54756624,0.28627035,-0.2647205,-0.52561194,0.28143892,0.08175898,0.052222498,-0.06876237,-0.057802856,-0.39772186,-0.1121947,-0.07306509,0.5281564,-1.1580595,0.5530232,-0.107006095,0.06189365,-0.00047843455,-0.7454112,0.53266406,0.041614488,-0.45649588,-0.11091407,-0.3483902,0.2552708,-0.57593083,-0.07064365,0.31775752,-0.08747873,-0.06609341,0.24395202,0.19250706,0.77066904,0.15337904,0.31001654,0.4580938,0.36646032,0.22733699,-0.56150067,0.9536472,-0.09538703,-0.5714254,-0.5353936,0.037429813,-0.14341556
-0.6077312,0.43348137,-0.119924314,-0.11927558,0.10240391,-1.040826,-0.12367667,0.96107054,-0.29523274,-0.24914476,-0.35355267,-0.5198705,-0.20802863,0.07188642,-0.23407102,-0.38456577,-0.1833646,-1.0598942,-0.009793678,-0.48045057,0.45874724,-0.033095907,0.10721328,-0.43085188,-0.1765225,-0.1737434,0.008639005,-0.23517533,-0.369239,0.029786108,0.361844,-0.11473666,0.01995629,-0.28053674,-0.46763054,0.47027105,0.52698636,-0.08502097,-0.11928454,-0.2865819,0.08642273,0.03476076,-0.12451553,0.489756,0.042926602,-0.4160279,0.062446415,0.09347346,0.40349168,0.3548263,0.34338844,-0.38010758,-0.23681326,-0.2743164,-0.015406971,0.57552296,0.38569826,0.12619253,-0.18458752,0.39231616,0.33774674,0.6342873,0.09958524,-0.020469986,-0.23205979,0.16616194,-0.026882775,0.6010331,-0.8484364,0.41376132,-0.08068925,-0.24884038,0.7109126,-0.5063864,0.691017,-0.055097785,-0.019388603,-0.434156,-0.33163702,0.022375492,-0.42754656,0.18181086,0.07636059,0.10543759,-0.12860847,-0.054314222,-0.2854366,0.75970185,0.44628236,-0.0043014553,0.639915,0.22441223,0.32623586,-0.07919717,0.78127736,0.1313461,0.4639961,-0.24624386,0.28782895,-0.37868756
-0.8513257,0.4568816,0.13113527,-0.35533926,0.16316268,-0.9233248,0.14419973,0.79930496,-0.4637748,-0.44038576,-0.27133334,-0.5314208,-0.42646772,0.073006876,0.09229732,-0.18449649,-0.2733482,-0.99653304,-0.1650434,-0.21549833,-0.035279244,0.17034404,0.33568558,-0.3823933,-0.38870195,-0.021641621,0.33398303,-0.13212147,-0.37189454,-0.084148884,0.35638076,-0.14777718,0.047004595,-0.21371146,0.2482487,0.34229487,0.3775954,-0.19681738,0.061375182,-0.5029316,-0.22421893,-0.31023216,-0.42867923,0.26516363,0.12906288,-0.2103826,-0.21634036,0.5628418,0.15208657,0.12639748,0.6780613,-0.20902026,-0.14337888,-0.14819695,-0.20826633,0.7735688,0.40127587,0.37217805,-0.0031969447,0.47621652,0.33842084,0.07273818,-0.42177355,0.26339084,0.050826784,0.18252167,0.2014121,0.5877102,-0.49620187,0.52831686,-0.15940936,-0.08185261,0.89589834,-0.42896238,0.09851881,0.1631857,-0.1253759,-0.4553384,-0.21472187,0.101662695,-0.34787375,0.008477201,-0.32564253,0.31837204,0.081295215,-0.38145533,-0.4741705,0.8880158,0.65525407,-0.019911751,0.71561134,0.21533132,0.4379821,-0.12735894,0.5356305,0.30558887,0.52416027,-0.27257255,0.30302238,-0.17575207
-0.13361032,0.30673623,-0.044168092,0.19472197,0.02571429,-0.67515504,-0.24796037,0.83894134,-0.32837856,-0.16853479,-0.30608994,-0.7037644,-0.09427673,-0.040289998,-0.43649185,-0.06319749,0.03557265,-0.7730064,0.3087645,-0.65585357,0.7080773,-0.08800433,0.085843794,-0.2750502,0.13505618,-0.17886733,-0.046350583,-0.29238355,-0.04676932,0.27168998,0.15174773,-0.0098322965,0.15089612,-0.49111533,-0.44974703,0.2766018,0.4944308,-0.2889038,-0.42588288,-0.57805747,-0.14299218,0.15867311,-0.07532085,0.41017506,0.22170979,-0.43502605,0.258581,-0.13716167,0.4102456,0.22906137,0.25022838,-0.20821092,-0.26760778,-0.15242851,-0.028793355,0.36589527,0.40802014,-0.0794651,-0.4330915,0.31031007,0.23805834,0.25463852,-0.009798554,-0.11653301,-0.2852501,0.14532115,0.011014358,0.60814124,-0.82834065,0.3393048,-0.14859284,-0.1299897,0.42465165,-0.40348405,0.8820112,-0.17988513,-0.17970373,0.037479702,-0.28346503,0.23997276,-0.34607252,0.043103177,0.30514246,-0.060906775,0.015601396,0.17991227,-0.23664337,0.56156194,0.3167053,0.2728653,0.40024894,0.074056946,0.32640222,-0.42977563,0.57137084,-0.021493709,-0.42354742,-0.425723,0.41563275,-0.003443586
-0.6364428,0.44618565,-0.06317524,-0.1692752,-0.0045313668,-0.64943486,-0.024448507,0.86159885,-0.42282233,-0.34443623,-0.1702488,-0.3997357,-0.057443053,-0.18719211,-0.1258397,-0.0012253398,-0.27245924,-0.82730526,-0.11432028,-0.23782875,0.2675423,0.13740681,0.07709924,-0.5214731,-0.13393345,-0.03528232,0.19694026,-0.16435619,0.025454871,-0.10074861,0.40087658,-0.16286196,-0.015525945,-0.43477553,0.08865315,0.20097752,0.40117836,-0.012061636,0.07992562,-0.7759372,0.00060728856,-0.3534483,-0.21167217,0.2887534,0.016307374,-0.49637774,0.02921018,0.33367866,0.2253513,0.15638064,0.40100062,-0.0041540735,-0.1129865,-0.24143592,-0.11819391,0.36050722,0.44662908,0.3079343,-0.23487957,0.27840635,0.29003385,0.19607565,-0.24416526,0.27798176,-0.16908035,0.3301148,0.22434825,0.53142416,-0.55190915,0.5206417,-0.2991223,-0.15312959,0.9189344,-0.21044753,0.38165528,0.025707683,-0.07042253,-0.2825167,-0.21209592,0.11925652,-0.33275676,0.03878954,0.0733836,0.1167191,-0.059118755,-0.30052066,-0.64716405,0.7111783,0.54679483,0.18664712,0.5513229,0.2619587,0.4021736,-0.13388203,0.53727484,0.27696314,0.12430313,-0.27834213,0.5361344,-0.23728676
-0.10376207,0.1529592,-0.055403527,0.41432878,0.1567894,-0.93929666,-0.21540774,0.79787266,-0.11976374,-0.16767092,-0.5495609,-1.0114704,-0.14411692,-0.013783462,-0.58126193,-0.07985474,-0.10111784,-0.73628414,0.38612983,-0.9398158,0.6813718,-0.033264734,-0.01167078,0.016342122,-0.09549486,-0.25519243,-0.30139235,-0.15097606,-0.39300463,0.35678703,0.35302863,0.028365985,0.4424929,-0.4157985,-0.80764985,0.5595225,0.34168655,-0.1013967,-0.48039624,-0.53884345,-0.37772658,0.067814834,-0.23304226,0.5115011,0.26672798,-0.8008729,0.05923754,-0.14613049,0.39461583,0.39602676,0.3204349,-0.2645143,-0.22808032,-0.08021624,-0.03129074,0.2626204,0.26865003,-0.20949511,-0.43053225,0.105977215,0.11470617,0.29952586,0.14918315,-0.26550868,-0.4892478,0.44035444,0.18583876,0.47274986,-1.0877017,0.5985549,-0.14928332,-0.042242397,0.12330692,-0.5823147,0.6236388,0.17840391,-0.055636447,0.0025025557,-0.25254515,0.222514,-0.31145906,0.025100106,0.30616832,-0.026792547,-0.0310903,0.0958877,0.13270079,0.55656207,0.38314423,0.27585876,0.53362566,0.2023651,0.16820592,-0.28469986,1.0122166,-0.09011029,-0.37779602,-0.3770534,0.16987994,0.1487467
-0.37003687,0.08710859,-0.20392251,0.21656762,0.12726898,-1.0842319,-0.027972205,0.3369254,-0.27263993,-0.2984305,-0.3128402,-0.7243579,-0.70784533,0.40317833,-0.12046415,-0.45928583,-0.31117296,-0.51820314,0.26739234,-0.49678996,0.6261161,0.22216263,0.058096215,0.043788277,0.24124146,-0.18321742,-0.111406475,-0.5530865,-0.626852,-0.16532981,0.23603287,-0.17661427,1.2089165,-0.5450915,-0.4892988,0.13723354,0.64768296,0.016454702,-0.25222018,-0.4542673,-0.23677006,0.052306257,-0.3749062,0.34251717,0.18336417,-0.71831834,-0.42150813,-0.07342109,0.32889685,0.6730288,0.4438893,-0.41508338,-0.61200726,-0.08450505,0.19669236,0.38837972,0.33739612,0.15213513,-0.32998237,0.3814467,-0.18478554,0.2997723,0.04414992,-0.2792197,-0.2130435,0.20451148,-0.02536817,0.6966371,-1.2444373,0.9363723,-0.023279082,0.297266,0.6070708,-0.43573087,0.5170948,0.04575485,-0.40420553,0.1371105,-0.121520236,0.19862808,-0.75279284,0.29113477,0.2473404,-0.23628552,-0.25718245,0.22705401,0.54018277,0.35060006,0.14850882,0.6574635,0.670895,0.234004,0.3934339,0.06003478,0.86671007,0.03680438,0.11620568,-0.73729825,-0.5754451,-0.12817536
-0.5651654,0.31640932,0.040118568,-0.15480857,0.3927869,-0.88511276,0.23122548,0.5303364,-0.1394977,-0.521084,-0.5802011,-0.60315,-0.98648864,-0.2910358,-0.18411317,-0.18161474,-0.2686049,-0.94220173,0.43157858,-0.11255484,0.5047536,0.28958356,-0.070143394,-0.19817272,-0.24275479,0.16957025,0.12549117,-0.6696429,-0.67868525,-0.01688826,0.40942642,-0.4426041,1.0230725,-0.44200483,-0.52741194,0.4415604,0.7224071,0.034601636,-0.546311,-0.0471396,-0.22513391,0.15990873,-0.32642156,0.23682527,0.16216967,-0.5396363,-0.2570996,-0.14825237,0.30860183,0.3716489,0.8227913,-0.52268237,-0.5308703,-0.06384159,-0.26274085,0.4897139,0.5302742,0.03776948,-0.16863093,0.100653976,0.039941445,0.423988,0.349876,-0.20411006,-0.45369783,0.1753371,-0.40566775,0.5078307,-1.066668,0.99542546,-0.32427388,0.041186605,0.9915488,-0.30611068,0.19575977,0.009697269,-0.43085483,-0.20956324,-0.47684562,0.47905433,-0.6255282,0.19135575,0.12708125,-0.1423603,0.29326084,-0.04523304,0.60444456,0.67241824,0.12037234,0.5205638,0.57717913,0.64473224,0.23092628,-0.1806901,0.9695098,0.3220118,-0.06558394,-0.3742434,-0.41886267,-0.478873
-0.13928449,0.24390969,-0.10742573,0.23208502,0.15701175,-0.74435353,0.28291655,0.45805365,-0.15355164,-0.22862363,-0.41671678,-0.49618495,-0.42535156,0.44406316,-0.33025807,-0.16123308,-0.30518,-0.8226424,-0.011504646,-0.42367592,0.55411744,0.07943519,0.22259733,0.103279255,-0.3721887,-0.092635415,0.07591479,-0.3243312,-0.43158495,0.015186371,0.4945989,-0.29476157,0.40228018,-0.35719016,-0.27829513,0.434159,0.3949665,-0.033131983,-0.3185476,-0.25867137,-0.0017217849,0.10370249,-0.5805963,0.40364322,0.052823585,-0.63179195,-0.28030667,-0.19454773,0.010534432,0.2243246,0.41596928,-0.18253247,-0.24203004,-0.15714058,-0.17505796,0.41033554,0.29598096,0.25506538,-0.3191836,0.26528564,0.24143927,0.07263519,-0.1544367,-0.21821138,-0.48059687,0.033284646,-0.047833294,0.52468747,-1.0246822,0.8310558,-0.1430397,-0.086250715,0.49402684,-0.662465,0.43473244,0.2342814,-0.30248398,-0.15238102,-0.41178924,0.022628373,-0.40835065,0.17952557,-0.14987966,0.21948151,-0.25457948,-0.13987632,0.4007897,0.44708177,0.49308813,0.06629892,0.6799237,0.35714835,0.0743074,-0.0642094,0.67822623,0.11891878,0.28728607,-0.39196685,-0.21916792,-0.09359229
