timedelta,category,subcategory1,n_tokens_title,title_polarity,title_subjectivity,n_tokens_preview,preview_polarity,preview_subjectivity,n_tokens_content,content_polarity,content_subjectivity,prop_non_stop,prop_unique_non_stop,author,day_of_week,month,num_imgs,num_hrefs,num_tags,author_category,n_tokens_cross,polarity_cross,subjectivity_cross,title_cross,preview_cross,content_cross,prop_cross,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
791,Things To Do,Attractions,18,0.04999999999999999,0.7,20,0.0,0.0,485,0.15315249266862174,0.5707233626588465,1.1258278145695364,0.4,Kezia Tan,1,1,8,13,1,More than 200 posts,174600,0.0,0.0,0.6299999999999998,0.0,42.39273722347876,0.4503311258278146,10.895394,2.766434,8.474797,6.902152,5.884487,11.720021,3.1161218,3.9984639,5.4990005,5.123888,6.2450304,2.6593347,2.6179745,5.616551,5.517537
844,Things To Do,Attractions,18,0.15,0.37777777777777777,21,0.012121212121212107,0.5666666666666668,1641,0.10044025553734293,0.45914029336359413,0.9830917874396136,0.31974921630094044,Benjamin Wellesley,4,11,15,9,6,Less than 50 posts,620298,0.00018261864643153239,0.09829003317191017,1.0199999999999998,0.1442424242424241,75.6766323327981,0.31434282858570717,10.249517,2.5239863,7.8891416,5.8132772,6.2853026,10.595031,4.331237,3.8578079,6.489724,6.4135194,9.835169,3.1807578,2.669182,6.3469567,4.52313
1176,Things To Do,Food Guides,17,0.13636363636363635,0.45454545454545453,27,0.4681818181818182,0.6397727272727273,2875,0.1347216109881309,0.42003483545333736,1.1407954945441745,0.36095238095238097,Kezia Tan,1,12,49,71,6,More than 200 posts,1319625,0.00860102847011001,0.12214856010342404,1.0537190082644627,8.08730888429752,162.68983789729825,0.4117728499354687,-0.0019205011,-0.041323304,5.4539285,4.707749,3.8738606,10.817822,3.804249,3.4399319,5.978086,4.81994,-0.8987226,0.89844394,2.5164256,5.8634186,6.1685877
1062,Local,Businesses,20,0.0,0.0,27,0.0,0.0,491,0.16111111111111112,0.5372023809523809,1.0813704496788008,0.4652173913043478,Kezia Tan,3,4,5,16,2,More than 200 posts,265140,0.0,0.0,0.0,0.0,42.49569279100529,0.5030723396331812,10.627646,2.5033767,8.391742,7.050401,5.3624825,9.73276,3.2474022,3.4030538,5.3386884,5.295054,6.763304,2.493278,2.6727762,6.5026565,4.8779945
1321,Things To Do,Monthly Lobangs,18,0.0,0.0,31,-0.2,0.4,1729,0.08821061858251941,0.45967535678279436,1.1231671554252198,0.38118022328548645,Kezia Tan,3,8,16,50,4,More than 200 posts,964782,-0.0,0.0,0.0,-2.4800000000000004,70.10792004671559,0.42812910709191,0.83107424,-0.049448013,5.658251,4.7681227,3.9101157,3.947375,0.5777577,5.0904217,4.70962,5.7252803,-1.6169038,0.951425,2.4947684,6.0108895,6.0389256
729,Things To Do,Activities,11,0.0,0.0,28,0.2,0.4,599,0.24380411255411258,0.5559884559884561,0.9982876712328768,0.37583892617449666,Pailin Boonlong,0,3,10,2,2,50 to 100 posts,184492,0.0,0.0,0.0,2.24,81.1958109894555,0.37519536636940337,13.081107,3.935564,9.018403,6.643472,4.906639,9.6983595,3.1862895,3.8673508,5.264884,5.537746,6.8017635,2.8293903,2.7298543,6.0547013,5.3563657
27,Things To Do,Events,19,0.7,0.9,7,0.8,0.75,1011,0.34723670860389605,0.5527765376984125,1.1884498480243162,0.3556085918854415,Gabriella Nadine,2,2,10,13,5,Less than 50 posts,134463,0.19445255681818177,0.3731241629464285,11.969999999999999,4.2,194.05569290483663,0.42262297698239404,0.6303499,-0.23423019,5.656864,4.832761,4.0342836,11.617597,3.3668382,3.783016,6.5346727,5.1286774,2.28959,2.1389666,3.0099192,5.8832603,5.8116865
519,Things To Do,Beauty & Wellness,15,0.08125,0.45,26,0.13636363636363635,0.45454545454545453,2017,0.05860133960527663,0.4854484098578586,0.9440870856011875,0.2818590704647676,Jessica Fang,0,10,16,5,3,100 to 200 posts,786630,0.0006492762058539172,0.0992962656527438,0.5484375,1.611570247933884,57.37946901500145,0.2660995083853422,11.17445,4.1063104,7.9396224,5.464936,4.7896543,11.92665,3.2456203,6.75888,5.022049,6.6626253,11.984311,3.4397633,2.289862,6.969242,4.8477254
917,Things To Do,Events,17,0.2681818181818182,0.65,22,0.0,0.0,1125,0.218644311417749,0.497364549512987,1.1343552750225427,0.3747178329571106,Deborah Gan,1,9,7,12,4,50 to 100 posts,420750,0.0,0.0,2.9634090909090913,0.0,122.33917063334923,0.4250631504599144,10.888705,3.2742465,8.028983,5.7613344,6.4839153,7.8100348,2.0789661,4.374614,5.0240345,5.366963,2.7187247,2.0623305,2.9727204,5.4636908,5.4930797
1199,Local,Local,14,-0.30000000000000004,0.6499999999999999,24,0.21666666666666667,0.6166666666666667,1488,0.06370962370962374,0.44983932733932747,1.0756756756756756,0.29248366013071897,Victoria Quek,6,12,13,13,2,50 to 100 posts,499968,-0.004141125541125544,0.1803105970418471,-2.7300000000000004,3.206666666666667,42.64473228057327,0.3146175587352058,7.448669,2.1623452,7.180373,5.435299,4.337004,7.320609,1.8750565,5.260643,5.172483,6.196921,10.648459,3.2129805,2.7320151,6.948187,4.347467
