timedelta,n_tokens_title,n_tokens_preview,preview_subjectivity,n_tokens_content,prop_non_stop,prop_unique_non_stop,num_imgs,num_hrefs,n_tokens_cross,subjectivity_cross,content_cross,subcategory1_Attractions,subcategory1_Australia,subcategory1_Beauty & Wellness,subcategory1_Food Guides,subcategory1_Malaysia,subcategory1_Sales & Promotions,author_category_100 to 200 posts,author_category_More than 200 posts,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
1328,17,31,0.5444444444444444,1806,1.1017997750281214,0.37991858887381275,21,0,951762,0.07302850206121038,112.22293807051275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060004983,0.18249282,5.7941284,5.366448,3.4476328,5.4465966,1.1719927,4.7560773,5.246434,5.48331,-2.5871096,-0.56512576,2.4239254,4.843647,4.2339115
1089,15,19,0.5499999999999999,1288,1.1692789968652038,0.31433823529411764,22,32,367080,0.14899650793650793,84.35765716407947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.403605,3.6662009,7.9813194,5.7690372,5.236786,9.777492,4.1392007,6.572055,5.4068713,4.4106464,8.038794,3.1202414,1.6953273,6.618369,5.276526
468,17,25,1.0,985,1.1071800208116545,0.3900523560209424,9,20,418625,0.0,103.45804939040526,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0245376,1.7826898,6.65817,5.9187527,4.77408,5.6702867,1.1730257,5.014735,4.776749,5.5882645,3.5153484,0.7065822,1.866203,5.5695777,4.299631
104,17,12,0.5,531,1.0469667318982387,0.39094650205761317,4,9,108324,0.10148316035816037,31.071635664315064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6772885,2.6217663,7.009866,6.547717,5.4254766,10.910335,4.049608,6.8310146,5.6182365,3.916953,2.6442196,0.9748148,1.6734084,6.269778,4.992997
770,15,19,0.625,1142,1.0834829443447038,0.32421052631578945,7,1,325470,0.0,82.15673833994003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.494442,2.5821693,6.864033,5.223759,5.0806866,9.863519,3.2168703,5.775406,6.363215,3.9737573,9.030442,3.9344363,1.6777298,6.827865,6.2309146
564,19,28,0.5666666666666667,1632,0.9945321992709599,0.2841091492776886,5,15,868224,0.05121239331093348,27.343602221692645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.436805,4.249682,7.617789,6.0889835,6.1556444,11.246973,5.325224,6.902178,5.3631883,5.4067936,11.857205,4.4748077,2.2895935,6.1526527,5.494147
551,17,13,0.5,497,1.1136842105263158,0.459915611814346,7,2,109837,0.09049586776859501,34.55690289256197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.468858,4.058369,7.5826116,6.8652697,6.2997093,3.666717,0.061513964,4.407876,4.408485,5.657932,8.929151,3.8361812,1.7324142,6.4940596,5.87524
911,15,18,0.2888888888888889,627,1.1445182724252492,0.4180602006688963,6,10,169290,0.027956989247311832,-5.437044745057236,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.27033,2.8827584,7.0712543,4.7042704,4.6329923,9.918025,4.1630716,5.2791524,6.9659104,4.580127,6.462243,2.017442,1.281004,6.2665253,5.3667164
434,17,21,0.2333333333333333,1478,1.1324728260869565,0.2793103448275862,8,19,527646,0.035682261208576996,101.18797558998266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.076583,4.973651,7.7319713,4.3424225,6.0183163,10.739281,4.150355,5.5957847,4.1598306,5.014841,10.90245,4.169809,1.9993827,6.3327193,6.1201663
256,16,21,0.4,734,1.0869565217391304,0.37003058103975534,7,14,246624,0.07989363330272421,43.22030239881278,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.719856,4.8326097,7.90873,5.911556,6.4158826,9.352101,4.3856535,5.5213327,5.1293087,4.5326405,8.080856,3.2584608,2.0758884,6.458944,4.521269
179,15,19,0.0,1246,1.0988654781199352,0.2940038684719536,12,27,355110,0.0,151.9363309215383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.355341,1.646998,6.5793676,4.733665,3.874303,10.957283,4.6809015,7.128798,4.140842,4.2059984,9.0975485,3.040162,1.6349967,6.1536245,4.332607
246,17,23,0.5541666666666667,562,1.1382575757575757,0.43197278911564624,5,12,219742,0.0,36.06190411010864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.394829,4.3319526,7.2987223,5.512241,6.4576397,9.395915,3.7155073,5.195658,5.8727994,4.033801,0.251089,0.103014946,1.9300888,5.737167,4.7196374
966,13,19,0.44999999999999996,1480,1.0685210312075983,0.3520140105078809,10,30,365560,0.13551811813186815,120.71496253829436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.7927475,2.5131645,6.8155656,4.796848,4.8302364,10.280266,4.115223,5.2960625,7.223268,4.91928,7.20758,2.7342355,2.0219429,6.2312236,5.356994
1236,20,23,0.65,2046,1.0833333333333333,0.3403973509933775,30,1,941160,0.0874965909090909,129.91902579375744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24776612,0.21586989,5.8370457,5.408961,3.4745762,3.018123,-0.062082306,4.259447,4.506761,5.698744,-0.6681629,-0.685198,2.0154715,4.7658405,4.458209
359,13,14,0.8500000000000001,1297,0.9522342064714946,0.2733050847457627,13,11,236054,0.11182285646452303,49.65727538073665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.923286,4.624443,8.325708,6.175334,5.5195765,11.291207,4.2502365,4.9986486,5.4959517,5.5168242,11.097889,4.071033,2.3381455,5.932405,5.062301
663,16,22,0.6333333333333333,361,1.1074626865671642,0.4635416666666667,3,12,127072,0.38422222222222213,54.204150000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.742817,4.049961,7.8186054,7.2483892,5.9653106,9.245235,3.8162956,5.436143,7.2718043,5.1270156,6.0052156,2.1249166,2.3008738,6.0720816,4.600858
97,18,19,0.45454545454545453,429,1.0496277915632755,0.40487804878048783,6,11,146718,0.2139032369146005,34.1535956143466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.239148,4.3089285,7.6836457,6.511911,6.2460794,6.285071,1.8898041,5.179158,4.4917207,5.3420043,6.156007,2.0021262,1.5690423,6.4437265,4.4727607
1006,16,29,0.6666666666666667,1854,1.0466988727858293,0.28034682080924855,14,10,860256,0.09464089312926517,-16.57902276908321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.833365,2.777494,6.914333,5.777237,5.6420593,7.0303736,2.4346244,5.314008,4.724271,5.578702,11.125854,4.502716,1.8619304,6.2646065,6.0439835
412,16,13,0.0,631,1.1685761047463175,0.3874538745387454,3,11,131248,0.0,45.95015955721694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.4750323,3.0642786,7.081381,6.0602145,5.0635724,10.386951,3.8131645,5.69037,7.258062,5.131523,6.6557684,2.1201823,2.0067239,6.0960994,4.5768256
829,19,23,0.0,1257,1.088282504012841,0.3484573502722323,18,7,549309,0.0,122.81844802537127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.769171,2.8627992,7.058567,4.6433735,4.811306,5.087051,1.1883128,4.6931705,4.6966734,5.910955,6.462493,2.2830076,1.3458904,6.400462,5.7818804
1198,14,23,0.0,1399,1.1029731689630167,0.3609341825902335,27,54,450478,0.0,141.54420351313587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.193944,1.9597799,6.5047026,5.3592796,4.087273,3.5983663,0.10759203,4.4804153,4.3523784,5.7971497,3.5562162,0.9731103,1.52221,6.0225945,5.1151986
235,15,9,0.0,599,1.0137221269296741,0.3588850174216028,7,1,80865,0.0,41.72518295024211,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.32098,3.7554452,8.029562,6.6959953,5.5066776,11.434811,4.5636687,5.5979576,6.5571976,5.480556,10.249232,3.992202,2.678722,6.0700946,5.1655006
997,21,28,0.45,2147,0.9986091794158554,0.26854219948849106,14,6,1262436,0.10268607213277592,68.0753539522913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.179321,2.3817809,6.7864623,5.91716,5.439122,7.107195,2.515268,5.5045195,4.4863267,5.652283,10.976918,3.8782566,2.3383741,5.91954,4.900239
327,15,19,0.5499999999999999,1733,1.1887784921098772,0.32909379968203495,18,38,493905,0.13977634711779452,0.7016091714662775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5700655,4.749178,7.779415,6.638142,6.538779,10.846101,4.900973,5.5801954,5.066455,4.9773984,5.0882792,0.93868744,1.5320013,5.5467596,4.3149676
217,15,13,0.5,1061,1.0524809160305344,0.3147751605995717,13,8,206895,0.2197555222555222,116.59931080833805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.350408,4.722655,8.151645,6.800936,5.560186,10.640174,4.3192596,5.482163,4.949363,4.057926,6.2890444,2.1986363,2.1566842,6.1493473,4.522977
841,18,24,0.39999999999999997,2131,1.0009350163627864,0.27137042062415195,27,0,920592,0.018962427358700653,170.12107970847362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.960277,2.0511594,7.112806,5.73844,4.457608,11.853999,3.9310958,5.787066,4.931291,4.891358,9.41544,3.211708,2.2961302,5.988866,4.5909314
710,18,20,0.0,924,1.1906873614190687,0.35802469135802467,16,3,332640,0.0,110.90898827267327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.910547,3.9032273,7.9903812,6.481972,5.4997296,11.154339,5.131222,5.8030653,5.2244716,4.945674,9.265713,3.1173089,1.9651065,6.1848917,5.0362973
118,18,31,0.0,814,1.1177215189873417,0.4067796610169492,10,9,454212,0.0,45.52116194374023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.612619,3.6356971,7.935221,6.419201,5.3158164,9.408686,4.20599,6.3284683,5.692218,4.211072,1.5153543,0.6186136,1.7843144,6.1633325,4.7180305
1212,18,17,0.35,862,1.0499405469678953,0.38992042440318303,14,3,263772,0.06140917968750003,48.76128018239437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.781257,4.065136,7.331128,6.7279134,6.528966,7.039119,2.4446385,5.2026086,4.955988,5.1949353,1.9858516,0.40001518,1.6671565,5.697007,5.0907817
555,17,22,0.0,1240,1.1903199343724364,0.3406813627254509,11,29,463760,0.0,51.767146585921815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.453195,2.437655,6.929431,6.1382704,5.499626,6.569359,1.8603148,4.9523373,5.354749,5.4068623,10.466963,4.012685,2.5236862,6.145886,5.1178484
1142,19,22,0.3333333333333333,2033,1.133629191321499,0.33170731707317075,25,0,849794,0.09747488972867763,134.71006041262848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7141957,1.2610177,6.6106052,4.9764695,3.8884592,9.818616,4.4570704,6.170671,4.728246,5.181687,2.709758,0.69759077,1.5059103,5.9368787,5.248911
1229,16,17,0.3,1285,1.0520186335403727,0.29292929292929293,9,9,349520,0.0,43.71993951825328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.147988,5.015103,7.9388533,4.2693253,5.9215527,11.444845,4.4419074,7.595049,4.022947,4.5447197,9.349943,3.2248387,2.0895822,6.1908655,5.5047917
627,18,26,0.6,676,1.0919003115264798,0.40514469453376206,7,19,316368,0.0,43.00280210838339,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.381043,4.5854197,7.7111287,5.5257406,6.025238,11.168393,4.086973,5.6956406,4.3219085,5.0951056,4.753558,1.3107754,1.6724443,6.001182,4.7687373
805,15,23,0.0,2819,1.0209716882209017,0.2440041710114703,48,1,972555,0.0,181.83780118432693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33051,3.824776,7.9403386,4.93671,4.937729,11.573659,4.954987,7.113852,3.7672484,4.78541,10.953902,3.4338143,2.1995826,5.852958,5.0778604
707,18,21,0.4,800,1.1458064516129032,0.4217687074829932,4,15,302400,0.0,63.952065671495895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.8362775,3.3088362,6.858924,5.7740946,6.181724,3.9714432,0.090003535,4.8306165,3.8452907,5.7818055,1.1069164,-0.45864126,1.7416818,4.8118997,4.3485203
606,19,26,0.19999999999999998,1794,1.120990433314575,0.25615050651230103,4,9,886236,0.017278734940273405,100.26601592331117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.096465,4.6826034,8.06395,6.0439987,5.630051,4.8911457,1.0931014,4.8277225,4.2249365,5.7188044,11.511582,4.050834,1.8517989,6.231975,5.776715
851,13,27,0.0,1635,1.134438305709024,0.40869565217391307,10,22,573885,0.0,68.51445820276102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8121204,3.4716604,7.066038,5.162798,5.582262,7.3512664,2.1514168,5.2444196,5.058212,5.150676,-0.34296256,-0.64625764,1.9394952,4.803566,4.550678
582,14,22,0.275,747,1.1497175141242937,0.35755813953488375,9,22,230076,0.0,47.66938178478226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.189441,4.578954,7.7665086,6.68193,5.8887415,10.155326,4.223569,6.155983,5.4499774,3.6108673,10.98727,3.7962046,2.1414125,5.9946003,4.4864864
156,17,7,0.3,2487,1.1377343113284433,0.31513083048919227,31,57,295953,0.0,225.70768371391776,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.787539,1.7773646,6.7448454,4.7846785,3.871221,9.601438,3.8034508,5.444541,6.2892184,4.5986834,4.669077,1.0171719,1.6507927,5.7055583,4.4479685
1280,15,24,0.5714285714285714,1723,1.136978248089359,0.3870967741935484,35,53,620280,0.027488517831374955,186.7838416386168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.247413,2.9663045,7.243199,5.3899055,4.7496195,10.792518,4.367445,5.577249,6.9037237,5.23184,1.2778945,-0.5557098,1.558279,4.782828,4.532343
794,16,21,0.5053030303030303,1685,1.0682492581602374,0.32142857142857145,25,8,566160,0.1194093370518726,84.8785399001415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.715889,2.1440835,6.9445057,6.1043053,4.701147,10.769757,3.752296,5.694405,5.179042,4.3011765,5.314022,1.977259,1.8816979,6.22879,5.4121366
116,14,18,0.0,1326,1.1269961977186311,0.3430232558139535,11,26,334152,0.0,115.46823208116257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.9519114,2.937136,6.8369155,6.401056,6.12497,10.069082,4.9814568,6.5852485,4.38583,4.9386325,4.953637,1.9103174,1.8063908,6.4814186,4.9448876
628,17,31,0.35,928,1.030701754385965,0.35459183673469385,5,9,489056,0.0,86.24373453810833,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.844586,1.8105878,6.7273245,5.9829073,4.6110806,5.9441285,1.1422969,5.1013436,4.3948774,5.7355533,3.9299784,1.0339259,1.8842019,5.815328,4.5513377
1168,16,21,1.0,508,1.1180124223602483,0.39759036144578314,6,1,170688,0.37425289280195045,56.017360478201674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0258718,2.5691357,7.1278243,4.9753637,4.033715,9.910322,4.0174427,6.2032876,4.883479,3.4728537,8.534706,3.138987,2.3208683,6.281015,4.626248
48,20,7,0.0,2076,1.1684466019417477,0.36351706036745407,21,67,290640,0.0,128.86651371532315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.705652,1.4909194,6.5094604,5.6970587,4.2558274,6.9519453,1.8709267,4.8207684,5.6102386,5.4128675,0.7963808,-0.5451256,1.7644632,4.756803,4.3795633
1303,15,11,0.75,1451,1.1818181818181819,0.3287671232876712,30,6,239415,0.19137358060973117,200.08969796765874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.807808,5.2090993,8.248068,5.894149,5.814721,10.593473,3.6539788,5.5726323,6.5892243,5.2985864,7.2669935,2.1935728,1.6168027,5.8464785,4.6173215
344,15,31,0.16666666666666666,961,1.2,0.37168141592920356,10,17,446865,0.0,28.18364442795994,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.463582,4.839871,8.086895,4.607774,5.181329,10.809311,4.758586,6.6929474,4.6719465,5.4675345,0.08090729,-0.6586571,1.8839602,4.6951766,4.333637
411,16,14,0.45454545454545453,512,0.9876288659793815,0.4410480349344978,3,5,114688,0.07255753123521719,41.31845049824848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.440099,4.6646104,8.034696,4.7631984,5.1893845,9.35058,3.212958,6.0726175,6.6406417,4.2914543,4.8284388,1.2086538,1.9011207,5.750056,4.3603296
1302,20,31,0.0,679,1.0902255639097744,0.3523489932885906,5,5,420980,0.0,52.02858987830976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02545,2.2966142,7.2485776,5.5368247,4.2346096,6.481379,1.5302309,5.1110377,4.771895,5.603194,4.1139736,1.2437813,1.2264668,6.3681536,5.149295
895,14,23,0.2626262626262626,1986,1.1880988401412003,0.2830188679245283,15,7,639492,0.03931188582857634,117.08197537266349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.758507,2.9517627,6.7706304,5.4503636,5.7296066,10.947631,5.0269074,6.5084496,4.912926,5.3508844,10.877998,4.7591825,2.004295,6.6631546,6.095741
512,16,31,0.50625,1363,1.0422848664688427,0.3181818181818182,8,18,676048,0.09345378513891166,-9.895618337679878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.582104,2.6694772,7.1412435,4.664114,4.407766,6.0354443,1.7068342,5.2368245,4.5890565,5.359817,7.1472254,2.7448008,1.4538529,6.1553755,4.8924317
666,15,25,0.7896825396825397,1468,1.056241426611797,0.34851936218678814,8,14,550500,0.0,33.60025655472023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6885068,1.5897278,6.4402256,5.2748885,3.9886956,10.726168,3.7627366,5.9407353,4.665776,5.171975,7.798703,2.8973403,2.104807,6.335207,4.6137743
1328,17,25,0.5,834,1.1650366748166259,0.3412698412698413,6,14,354450,0.1548893573633157,84.39047981240714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.752603,4.742453,7.6779385,6.5626554,6.3486414,5.5712895,1.023855,4.8102307,4.8607383,5.5148263,6.4982615,2.099943,1.9347461,6.000545,4.533248
1260,17,31,0.43333333333333335,997,1.0998980632008155,0.328125,11,16,525419,0.09723494511440942,42.94166309879203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4506125,2.137548,6.9699993,6.0316157,4.7911787,10.10181,3.8710568,7.0065255,4.8334985,4.358525,10.382571,3.4533415,2.432154,5.8696175,4.3405795
803,14,21,0.45454545454545453,1604,1.1103360811667724,0.3720073664825046,12,46,471576,0.0,146.00410983246724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.008501,5.2105455,8.395751,5.0840545,5.2472734,11.794354,4.474828,6.580672,3.9573147,5.021348,2.3345692,-0.102626935,1.4680957,5.0847187,4.8542633
1195,16,23,0.0,1128,1.1348920863309353,0.3431372549019608,10,3,415104,0.0,59.71372351981894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.249415,5.3681693,7.9261456,5.122325,6.162044,11.240163,4.8956127,7.5120187,4.204761,5.0318403,9.246602,3.8925612,1.6134672,6.6894784,6.162338
